s, numComparisons, ,s,min
691,234691, ,,
692,227175, ,,
693,228895, ,,
694,240812, ,,
695,236446, ,,
696,237918, ,,
697,232949, ,,
698,227416, ,,
699,234774, ,,
700,230824, ,,
701,225998, ,,
702,227596, ,,
703,237545, ,,
704,236764, ,,
705,229711, ,,
706,235407, ,,
707,223039, ,,
708,239285, ,,
709,231794, ,,
710,225086, ,,
711,226929, ,,
712,232607, ,,
713,240633, ,,
714,227467, ,,
715,226083, ,,
716,234834, ,,
717,233847, ,,
718,225867, ,,
719,231790, ,,
720,230688, ,,
721,228961, ,,
722,233321, ,,
723,242739, ,,
724,235151, ,,
725,235388, ,,
726,229341, ,,
727,237385, ,,
728,225550, ,,
729,228206, ,,
730,235018, ,,
731,226500, ,,
732,227645, ,,
733,228234, ,,
734,232743, ,,
735,232809, ,,
736,232358, ,,
737,225980, ,,
738,228222, ,,
739,231840, ,,
740,240644, ,,
741,234488, ,,
742,225280, ,,
743,231464, ,,
744,224120, ,,
745,234308, ,,
746,229976, ,,
747,226778, ,,
748,227116, ,,
749,227304, ,,
750,239146, ,,
751,237213, ,,
752,232956, ,,
753,221025, ,,
754,241051, ,,
755,240158, ,,
756,238633, ,,
757,232521, ,,
758,236208, ,,
759,231302, ,,
760,220170, ,,
761,238466, ,,
762,228070, ,,
763,223540, ,,
764,231114, ,,
765,238233, ,,
766,243579, ,,
767,223443, ,,
768,228378, ,,
769,229643, ,,
770,224973, ,,
771,231131, ,,
772,229654, ,,
773,226437, ,,
774,232401, ,,
775,227626, ,,
776,233595, ,,
777,232780, ,,
778,232963, ,,
779,230675, ,,
780,227949, ,,
781,235372, ,,
782,231651, ,,
783,236205, ,,
784,235276, ,,
785,231185, ,,
786,230031, ,,
787,231823, ,,
788,230111, ,,
789,235318, ,,
790,232932, ,,
791,233103, ,,
792,233622, ,,
793,236517, ,,
794,232585, ,,
795,233281, ,,
796,233167, ,,
797,237387, ,,
798,237276, ,,
799,233290, ,,
800,226243, ,,
801,226521, ,,
802,233440, ,,
803,228727, ,,
804,237692, ,,
805,228648, ,,
806,224640, ,,
807,228278, ,,
808,225702, ,,
809,222867, ,,
810,226669, ,,
811,231934, ,,
812,227204, ,,
813,225467, ,,
814,232697, ,,
815,231419, ,,
816,228169, ,,
817,226902, ,,
818,227580, ,,
819,231150, ,,
820,229529, ,,
821,223422, ,,
822,226183, ,,
823,225954, ,,
824,229076, ,,
825,235246, ,,
826,225850, ,,
827,237045, ,,
828,230080, ,,
829,233336, ,,
830,229494, ,,
831,221805, ,,
832,232058, ,,
833,225620, ,,
834,244070, ,,
835,231142, ,,
836,239893, ,,
837,232090, ,,
838,243532, ,,
839,231119, ,,
840,231057, ,,
841,230493, ,,
842,226735, ,,
843,230850, ,,
844,232566, ,,
845,233600, ,,
846,228484, ,,
847,238132, ,,
848,221960, ,,
849,232030, ,,
850,228162, ,,
851,231329, ,,
852,226533, ,,
853,235806, ,,
854,224182, ,,
855,226342, ,,
856,234174, ,,
857,220475, ,,
858,234471, ,,
859,224721, ,,
860,230207, ,,
861,226068, ,,
862,228444, ,,
863,236491, ,,
864,233171, ,,
865,239851, ,,
866,229362, ,,
867,232402, ,,
868,226003, ,,
869,236928, ,,
870,223443, ,,
871,224796, ,,
872,225961, ,,
873,232626, ,,
874,235967, ,,
875,236810, ,,
876,234386, ,,
877,227752, ,,
878,241551, ,,
879,234717, ,,
880,244023, ,,
881,227654, ,,
