n, Insertion Sort, Merge Sort, Hybrid Sort
758,142764,6289,5460
759,154651,6295,5209
760,141274,6327,4961
761,141425,6326,5517
762,139618,6357,5580
763,148154,6343,5588
764,146043,6377,5912
765,153431,6393,5258
766,145778,6388,5602
767,145568,6403,5086
768,148281,6392,5442
769,154132,6381,5169
770,154133,6428,5639
771,147591,6447,5460
772,155856,6436,5268
773,153844,6429,5757
774,152506,6477,5466
775,152235,6456,5765
776,148821,6490,5349
777,150659,6511,5302
778,156853,6501,5854
779,153118,6519,5517
780,147031,6505,5616
781,157688,6511,5899
782,158088,6562,5874
783,157408,6547,6059
784,156287,6557,5849
785,149292,6582,6335
786,156683,6581,6474
787,150038,6553,5514
788,157275,6598,5512
789,159823,6600,6327
790,151402,6621,5504
791,150735,6617,5859
792,160833,6657,5390
793,162474,6683,5714
794,158570,6667,5688
795,154935,6666,5597
796,155928,6684,5664
797,163472,6699,5609
798,158788,6716,5626
799,163886,6712,6112
800,149984,6734,5872
801,159120,6727,5644
802,160027,6719,5953
803,159552,6747,6038
804,168247,6764,5736
805,166558,6763,5482
806,169760,6771,5173
807,160353,6801,5191
808,166902,6810,4208
809,162860,6840,4349
810,157416,6822,4293
811,170775,6851,4391
812,158809,6848,4411
813,161574,6819,4364
814,165565,6862,4281
815,162165,6876,4541
816,160373,6861,4385
817,163445,6900,4296
818,166286,6891,4247
819,169499,6881,4585
820,163711,6918,4402
821,170354,6933,4413
822,168141,6922,4646
823,164705,6970,4535
824,162658,6981,4429
825,169169,6956,4351
826,165673,6975,4513
827,166977,6964,4294
828,171470,6982,4524
829,167541,7000,4472
830,171906,7032,4476
831,167221,7024,4653
832,180866,7014,4456
833,175133,7046,4313
834,173703,7054,4478
835,174382,7076,4534
836,175192,7087,4502
837,174859,7141,4576
838,177929,7073,4645
839,181322,7089,4874
840,178942,7123,4480
841,173857,7133,4440
842,176320,7151,4687
843,179537,7167,4638
844,177627,7136,4651
845,178894,7166,4617
846,181925,7160,4408
847,175310,7190,4591
848,174916,7168,4537
849,182113,7174,4599
850,186724,7216,4506
851,183106,7211,4646
852,175745,7236,4666
853,179573,7234,4681
854,185084,7227,4688
855,179221,7283,4788
856,184447,7255,4249
857,182759,7299,4846
858,188819,7283,4494
859,185088,7280,4870
860,182226,7309,5518
861,181755,7338,4779
862,180058,7322,4798
863,192195,7313,4840
864,190150,7347,4551
865,194228,7366,4664
866,191603,7353,4765
867,183744,7373,4994
868,190307,7410,4719
869,195394,7411,4681
870,187572,7416,4561
871,186548,7431,4898
872,187219,7421,4778
873,188888,7433,4725
874,187450,7449,4589
875,194282,7458,4478
876,192061,7460,4797
877,190844,7456,4716
878,192126,7460,4644
879,187468,7515,5010
880,185526,7515,4821
881,194424,7497,4610
882,192495,7566,4843
883,199611,7539,4890
884,198819,7540,4762
885,185431,7558,4696
886,193182,7574,4764
887,192663,7543,5081
888,192518,7565,4761
889,197220,7585,4952
890,203040,7588,5094
891,204468,7618,4917
892,206406,7619,5118
893,205374,7619,4648
894,205802,7660,4980
895,209640,7683,4608
896,202213,7679,4857
897,205732,7667,4845
898,198155,7708,4928
899,199612,7689,4979
900,202034,7700,5160
901,203186,7716,5237
902,206971,7723,4706
903,200370,7755,4936
904,209507,7735,4950
905,207472,7736,5014
906,207834,7756,4591
907,210596,7784,4873
908,205743,7786,4923
909,199067,7782,4982
910,206081,7804,4945
911,206847,7831,5036
912,211356,7840,4978
913,211042,7846,5094
914,212748,7844,5042
915,202565,7869,5352
916,218307,7877,5269
917,209675,7850,4966
918,212313,7872,5231
919,208210,7882,5311
920,204977,7936,4786
921,210230,7909,4970
922,219309,7920,5557
923,215834,7941,5183
924,215634,7978,4992
925,218318,7945,5489
926,221927,8005,5475
927,215758,7973,5281
928,208743,7975,5348
929,213998,7967,4981
930,208007,8009,5054
931,213765,8034,5204
932,225016,8011,5287
933,213333,7998,5444
934,215011,8046,5255
935,210438,8021,5352
936,223131,8068,5143
937,216298,8081,5302
938,233047,8084,5254
939,211994,8092,5194
940,218103,8057,5508
941,225896,8116,5569
942,223919,8085,5381
943,227752,8124,5202
944,225842,8138,5117
945,225309,8188,5349
946,220435,8187,5160
947,212358,8163,5144
948,224633,8176,5289
949,226940,8155,4971
950,225903,8211,5429
951,220448,8220,5383
952,227742,8256,5722
953,227434,8224,5307
954,222349,8253,5599
955,226370,8248,5416
956,230394,8261,5262
957,214212,8266,5377
958,224218,8275,5278
959,228856,8254,5393
960,233052,8324,5442
961,231349,8283,5278
962,234719,8328,5362
963,234166,8330,5523
964,239646,8370,5703
965,231904,8343,5231
966,235666,8398,5390
967,238405,8361,5457
968,233917,8365,5442
969,237027,8382,5546
970,236085,8389,5088
971,231498,8399,5069
972,227199,8434,5709
973,230065,8418,5324
974,239654,8452,5346
975,234474,8468,5380
976,243769,8444,5773
977,238977,8480,5649
978,241391,8429,5574
979,242811,8502,5743
980,230019,8504,5263
981,243795,8515,5550
982,244252,8518,5430
983,234350,8511,5387
984,243601,8559,5640
985,247061,8545,5641
986,245131,8557,5524
987,246218,8558,5444
988,250879,8558,5429
989,241272,8584,5577
990,251632,8593,5342
991,242881,8603,5465
992,245351,8615,5495
993,244486,8629,5639
994,248192,8633,5504
995,242786,8692,5419
996,242029,8674,5442
997,251050,8682,5749
998,243622,8708,5626
999,246875,8662,5803
1000,249583,8705,5626
1001,252602,8717,5756
1002,244986,8698,5640
1003,244370,8739,5798
1004,247162,8740,5445
1005,249866,8723,5307
1006,257525,8756,5761
1007,248945,8766,5916
1008,254296,8799,5291
1009,253899,8816,5796
1010,254051,8804,5709
1011,254799,8811,5439
1012,255765,8835,5779
1013,250257,8840,5482
1014,260880,8856,5458
1015,258728,8842,5811
1016,256755,8842,5813
1017,255323,8869,5801
1018,259509,8901,5852
1019,256710,8933,5849
1020,262040,8891,5810
1021,251222,8934,5519
1022,260181,8941,5649
1023,250721,8917,5730
1024,258431,8909,6026
1025,256496,8951,5555
1026,272489,8946,5612
1027,254187,8988,5857
1028,258232,8975,6245
1029,259927,8999,5868
1030,252084,9002,5999
1031,269019,9037,5802
1032,265262,9022,5922
1033,261034,9012,6064
1034,272021,9053,5976
1035,265063,9059,5724
1036,260906,9057,6007
1037,269368,9058,5622
1038,267624,9085,5773
1039,267267,9091,5825
1040,277385,9102,5619
1041,274413,9119,5780
1042,262599,9109,5799
1043,276311,9162,5943
1044,275511,9148,5861
1045,282135,9188,6096
1046,270600,9155,5751
1047,274361,9193,5867
1048,273783,9159,6151
1049,276190,9195,5976
1050,285106,9180,5653
1051,275393,9209,6126
1052,274911,9198,5956
1053,274035,9227,5771
1054,276791,9226,5701
1055,279769,9296,6709
1056,273132,9307,5767
1057,260692,9314,6164
1058,273929,9292,6351
1059,270831,9330,5895
1060,272548,9311,5990
1061,289355,9331,5747
1062,281966,9333,5947
1063,275901,9317,5963
1064,269857,9393,6250
1065,278975,9383,6155
1066,282958,9381,6144
1067,290699,9412,6074
1068,277322,9389,6084
1069,289351,9380,6203
1070,288287,9426,5763
1071,280471,9412,5765
1072,285511,9435,6238
1073,284984,9458,5931
1074,286030,9454,5904
1075,288073,9494,6374
1076,283775,9494,6236
1077,294279,9496,6431
1078,270457,9488,6383
1079,284607,9506,6006
1080,284682,9516,6448
1081,298832,9541,6741
1082,291253,9559,6071
1083,295188,9567,6535
1084,286647,9561,6121
1085,300445,9568,6391
1086,292486,9576,5894
1087,296776,9636,5791
1088,283237,9599,6718
1089,292013,9621,6232
1090,290889,9618,6163
1091,293208,9645,6419
1092,302574,9662,6220
1093,305557,9649,6367
1094,289718,9652,6543
1095,298253,9698,6875
1096,305409,9691,6396
1097,299672,9710,6392
1098,304077,9722,6833
1099,311361,9731,6197
1100,305139,9723,6255
1101,311508,9759,6081
1102,300201,9755,6229
1103,306656,9799,6675
1104,303000,9762,6035
1105,297946,9777,6019
1106,299862,9794,6437
1107,298018,9784,6258
1108,324305,9848,6272
1109,309662,9844,6570
1110,305443,9855,6786
1111,300623,9811,6195
1112,307085,9870,6728
1113,303788,9874,6381
1114,307197,9887,6654
1115,316568,9913,6566
1116,310090,9883,6602
1117,311120,9911,6561
1118,305948,9894,6272
1119,319895,9959,6551
1120,313899,9923,6114
1121,324889,9949,6297
1122,318510,9978,6662
1123,317296,9978,6627
1124,316067,10005,6618
1125,321111,9946,6496
1126,325940,9999,6439
1127,317533,10001,6214
1128,324364,10051,6579
1129,307094,10052,6164
1130,328676,10030,6362
1131,319390,10014,6840
1132,332342,10001,6558
1133,309378,10076,6613
1134,320626,10078,6466
1135,335126,10100,6389
1136,303611,10110,6211
1137,332179,10172,6929
1138,317740,10126,6308
1139,314169,10149,6440
1140,342933,10158,6994
1141,333605,10162,6724
1142,319762,10179,6914
1143,329652,10188,6567
1144,323779,10190,6437
1145,314613,10202,6542
1146,323755,10205,6718
1147,317155,10214,7016
1148,334660,10217,6638
1149,321098,10270,6437
1150,325528,10232,6299
1151,335752,10276,6675
1152,333088,10293,6830
1153,337201,10324,7119
1154,321385,10300,6804
1155,331244,10249,6482
1156,336321,10319,6708
1157,327307,10357,6803
1158,337371,10337,6669
1159,328669,10351,7147
1160,332984,10344,6716
1161,339656,10390,6595
1162,333576,10388,6333
1163,335700,10388,6599
1164,323471,10398,7236
1165,342797,10405,6778
1166,340095,10404,6561
1167,342476,10435,6718
1168,336772,10454,6925
1169,336218,10451,6927
1170,338095,10467,6992
1171,333957,10467,7144
1172,349229,10497,7004
1173,336109,10498,6889
1174,355336,10495,6968
1175,348762,10525,6506
1176,347560,10561,6664
1177,345689,10522,7174
1178,350222,10538,6911
1179,347616,10576,6888
1180,340347,10591,7093
1181,353165,10540,6645
1182,350941,10602,7045
1183,352789,10605,7021
1184,350543,10644,6943
1185,357186,10588,7054
1186,352291,10673,6761
1187,351412,10623,6790
1188,356053,10633,6718
1189,361391,10631,6888
1190,359480,10685,6860
1191,356259,10652,7041
1192,349286,10705,7237
1193,367039,10662,7333
1194,358810,10707,6847
1195,359160,10716,6941
1196,356291,10721,7012
1197,358225,10728,6767
1198,363645,10748,7143
1199,369852,10782,7325
1200,369861,10789,6984
1201,369737,10797,7037
1202,364526,10794,7155
1203,358369,10827,7097
1204,352791,10838,7160
1205,355986,10858,7105
1206,347639,10835,7017
1207,364896,10896,7377
1208,373859,10843,7371
1209,368603,10839,6939
1210,368968,10886,6723
1211,371985,10883,7458
1212,376752,10890,7074
1213,360105,10909,7085
1214,360952,10931,6929
1215,359685,10939,7189
1216,373980,10935,7152
1217,362320,10964,6507
1218,375262,10981,6975
1219,368905,10950,7076
1220,378421,11006,7302
1221,384735,10975,7283
1222,383870,10997,7698
1223,363515,11031,7346
1224,385896,11020,6637
1225,374201,11048,7217
1226,371819,11070,7037
1227,380481,11000,7085
1228,381735,11086,7814
1229,366823,11070,7102
1230,375560,11062,7115
1231,363764,11086,7203
1232,361216,11114,6910
1233,368876,11147,7105
1234,381715,11145,7872
1235,373485,11165,7397
1236,376842,11089,7287
1237,375540,11183,7287
1238,380757,11183,7049
1239,384852,11170,7276
1240,379548,11190,6757
1241,380562,11161,7575
1242,381939,11181,7632
1243,397620,11220,7461
1244,389580,11220,7878
1245,390736,11259,7723
1246,385701,11227,7237
1247,391858,11226,7288
1248,377788,11296,7364
1249,388219,11302,7544
1250,391186,11312,7724
1251,390456,11330,7026
1252,393749,11333,7524
1253,395084,11306,7504
1254,395507,11348,7637
1255,392288,11353,7776
1256,393938,11331,7396
1257,404058,11355,7152
1258,379585,11399,7839
1259,398454,11366,7572
1260,402790,11420,7963
